Date, Rotation, Hours, Notes
20/09/23,NCCU,17.25,"Sad case, new admit from Neuro ICU"
21/09/23,NCCU,15.75,"One new admission, transfer from osh for NICM"
22/09/23,Clinic,7,"Code sim, met a therapy dog, tofu bowls for lunch meh, talked to Dr. H"
25/09/23,Clinic,8,"light clinic load, left early"
26/09/23,Clinic,8,"made good diagnoses, wrote notes efficiently"
27/09/23,Clinic,9.5,"endo clinic, case presentation, forgot to update notes but did fine"28/09/23,MICU,14.0,"code, new patients, busy admits, tough presentations"
01/10/23,MICU,12.0,"2 codes, no ROSC, presentations were meh"
01/10/23,MICU,14.25,"long call, late admit for massive UGIB s/p massive transfusion protocol, patient developed hyperkalemia, coded"
02/10/23,MICU,11.0,"pretty tough day, short call but very ill patients"
02/10/23,MICU,11.5,"long call, relived some of the challenging events of last week, code + ROSC-- recorded and helped to resuscitate"
